auction_date,species_name,avg_price,trade_quantity,avg_weight_kg,tier_code_id,market_name,date,water_temperature,humidity,pressure,avg_temperature,wind_speed,max_temperature,min_temperature,rainfall,season
2018-01-02,(활)우럭,120000.0,1.0,0.0909090909090909,FWT_XS,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)넙치,13000.0,2.0,0.5,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)넙치,6500.0,91.9,,,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)넙치,50400.0,17.0,0.0555555555555555,FWT_XS,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)참숭어,12350.0,176.6,0.8,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)넙치,16430.0,2819.4,0.8,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)넙치,13000.0,9.0,0.0833333333333333,FWT_XS,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)참돔,20200.0,1560.8,0.8,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)농어,19000.0,10.3,0.8,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-02,(활)우럭,9625.0,1977.3,0.8,FWT_M,노량진수산시장,2018-01-02,,79.0,1029.3,2.8,3.0,7.7,-2.1,,winter
2018-01-03,(활)참돔,28550.0,843.4,0.8,FWT_M,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)넙치,24760.0,1618.9,0.8,FWT_M,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)우럭,7550.0,868.5,0.8,FWT_M,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)우럭,130000.0,1.0,0.0526315789473684,FWT_XS,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)농어,7800.0,1467.8,0.8,FWT_M,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)우럭,150000.0,1.0,0.1,FWT_XS,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-03,(활)참숭어,5466.67,388.1,0.8,FWT_M,노량진수산시장,2018-01-03,,74.1,1030.8,1.0,6.4,2.5,-0.4,,winter
2018-01-04,(활)넙치,20000.0,5.0,0.3333333333333333,FWT_S,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
2018-01-04,(활)넙치,15000.0,22.0,0.125,FWT_XS,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
2018-01-04,(활)넙치,12000.0,2.0,0.4,FWT_S,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
2018-01-04,(활)참숭어,7700.0,285.3,0.8,FWT_M,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
2018-01-04,(활)넙치,18966.67,1602.0,0.8,FWT_M,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
2018-01-04,(활)참돔,57066.67,1179.3,0.8,FWT_M,노량진수산시장,2018-01-04,,77.5,1026.8,-0.4,5.0,0.6,-1.0,,winter
